angle,label
60.497412409109174,0
28.541240983853466,0
33.75603266476417,0
39.235058107519265,0
65.55664090398986,0
75.29539532790102,0
121.29282279759083,0
123.05820593141125,0
118.10463285471515,0
140.1951223459394,0
141.4546140077648,0
78.97182779004672,0
58.37734745195887,0
63.0303849298503,0
61.57176791584222,0
67.42976833414122,0
64.20295327692027,0
57.001403746648045,0
41.46902262512974,0
30.69975091818866,0
27.349358386659848,0
30.27970019597611,0
32.20725941402535,0
35.431719810011884,0
40.696720344577486,0
46.866512958278946,0
48.87668069378823,0
48.37443830467281,0
49.99911838544064,0
52.800736650011345,0
53.81076357696363,0
54.97792501452295,0
55.90379741167263,0
60.16851660403715,0
60.51140825208347,0
59.17719666923152,0
58.62770265037828,0
53.678352389162136,0
48.569906228443145,0
49.88244050983091,0
40.89786444236538,0
38.10003064200338,0
33.291631798274025,0
36.77626645742026,0
43.7660912222121,0
42.040041560519036,0
50.916494571544916,0
50.928144627065066,0
45.62902938085371,0
53.28589574322253,0
53.03206134772371,0
43.955556062838774,0
52.094108872419476,0
61.1472345612194,0
60.31605631649688,0
43.97931473791055,0
34.238622572875826,0
32.91976393069124,0
30.894825000034135,0
28.943825655543773,0
29.51372458668545,0
39.01229587699588,0
49.26397301749781,0
46.72644996473109,0
46.2379994340735,0
47.74199114896606,0
44.29036947861204,0
43.18741326531585,0
43.085724123014884,0
42.13101232379848,0
42.556971970129375,0
44.75412639056594,0
44.9506237875908,0
43.559040882415495,0
42.321872875795805,0
43.77190719063177,0
40.05639612395094,0
38.090451206747,0
38.682297433269056,0
38.939782916189536,0
40.5075822615968,0
40.65266006905285,0
41.56263195617554,0
38.34341489360159,0
39.40112544880763,0
56.11974418138105,0
76.53090969575977,0
85.26292830606337,0
87.04223220192624,0
85.06489189482548,0
83.37444021380908,0
85.85280784286087,0
89.01435421819072,0
79.71807468618906,0
56.09625385986068,0
60.76897104123611,0
58.92516327871563,0
55.169709038360295,0
53.029052611147534,0
47.822789395676,0
45.86210065731989,0
44.746326210154216,0
43.83448530032865,0
42.76344105758029,0
41.77487115762279,0
40.918749450030504,0
39.992822461743266,0
39.81342732996627,0
39.51007273504432,0
39.922723523450095,0
39.77574297702498,0
40.25746873749604,0
40.00316308751614,0
39.041333988332546,0
38.232882094498116,0
37.26763526337929,0
37.57553823404318,0
38.43134280010971,0
38.54970294912207,0
41.96539222413957,0
43.51688084575334,0
45.135963649270764,0
49.06300199358563,0
50.97946116698041,0
58.91064633716724,0
64.71770043892806,0
61.819799680138466,0
73.81659162722336,0
80.81979572408078,0
79.71482910418452,0
86.84936249459264,0
94.01982299488297,0
93.94016842257062,0
97.96061429265544,0
93.4741082330279,0
90.7498159379574,0
93.95025876314284,0
89.74606785721603,0
